Company Name | Description of services,What industry / sector does your organisation operate in? If you are an IT consultant please state your industry experience under “Other”.,Number of employees within your organisation,How much information risk are you willing to take to achieve your strategic objectives?,How do you balance the potential information risks against potential rewards in your decision-making processes?,How do you approach risk management? What risk mitigation strategies did you adopt?,"Have you identified the level of risk that is acceptable to the organisation, and what level of risk is unacceptable?",Have you established risk tolerances for different types of risks and activities within the organisation?,Unauthorised access to confidential product information,Inadequate security controls in a product development environment,Insufficient testing of security features in products prior to release,Lack of encryption of Client Confidential data or Personal data in products,Security vulnerabilities in third-party software used in product development,Insider threats from employees or contractors with access to employee personal data,Lack of proper training and awareness programs for employees on information security best practices,Inadequate background checks on employees or contractors with access to sensitive information,Insecure storage or transmission of business confidential data,Failure to properly restrict access to Employee Personal Data,Insider threats from IT staff with access to sensitive systems or data,Insufficient security controls in IT infrastructure,Inadequate monitoring and logging of IT activities,Lack of proper patch management for IT systems and software,Insecure storage or transmission of confidential/sensitive data on IT systems,What type of role do you hold within your organisation?,How many years of experience do you have in the IT / Security field?,What maturity models are you familiar with?,How many years of experience do you have using COBIT 5 maturity levels?,How many years of experience do you have using CMM and CMMI maturity levels?,What other maturity models are you familiar with? And how many years of experience do you hold using this maturity model?,Does your company have a Chief Information Security Officer or a Steering committee reporting to the board/ executive management team?,Does your company have any Information Security certifications?,Does your company have an Information Security Policy / Charter?,Where is the majority of the environment / tech-stack hosted?,What type of development efforts does your organisation do?,Do you make use of any of the following tools throughout your development lifecycle?,Do you perform penetration testing on the supporting infrastructure?,How often are tests performed on infrastructure?,Do you perform penetration testing on your application?,How often are tests performed on the application(s)?,Are developers required to attend Application Security Training?,How often is this training required?,Are Secure Code training courses/resources offered:,Do you have a company-wide training and awareness programme?,Does your company have a password policy?,Does your company have an access control policy?,Does your company have an access rights review policy?,How often are access rights reviewed?,Do you use a single IdP (Identity Provider)?,Are all your corporate systems authenticated via SSO (Single Sign-On)?,What level of risk is associated with your outsourced development?,Are the outsourced developers required to follow your policies and procedures?,Are the outsourced developers required to follow your training and awareness requirements?
Gaming Innovation Group,Information technology and telecommunications sector,"500 - 1,000",Medium risk acceptance,"This is a tricky one, what matters most is making an informed decision while ensuring  that critical processes are not blocked, for the most part it is other teams who need to decide if the reward is worth the risk, so in such instances I ensure that people know what they're about to get in to regardless of which they choose, if something is deemed unacceptably risky however, it is escalated to the relevant people to make a final decision.",Reduce / Avoid,Yes,No,3,2,2,3,3,2,2,2,3,2,3,3,3,3,3,Info Security role,Between 1 - 5 years,COBIT 5 maturity model,Less than 1 year,Less than 1 year,None really.,No,ISO 27001,Yes,Cloud-Based,Some of our development efforts are outsourced (contractors / consultants),"DAST, SAST",Yes,< Quarterly,Yes,< Quarterly,Yes,Quarterly,Internally,Yes,Yes,Yes,Yes,Every 12 Months,Yes,Yes,High,"Yes, a set of requirements exist for this sort of talent.",Yes if they stay for longer than a preset amount of time.
RS2 Software Plc,Information technology and telecommunications sector,"500 - 1,000",Low risk acceptance,Prioritise risk first,Reduce / Avoid,Yes,Yes,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,General IT (Internal IT team) role,More than 5 years,None,Less than 1 year,Less than 1 year,None,Yes,SOC 2,Yes,Cloud-Based,Some of our development efforts are outsourced (contractors / consultants),DAST,Yes,< Quarterly,Yes,< Quarterly,Yes,Annually,Internally,Yes,Yes,Yes,Yes,Not sure,Yes,No,I don't know,Yes,Yes
Gaming Innovation Group,Gaming,"500 - 1,000",Medium risk acceptance,As dictated by higher level,"Reduce / Avoid, Accept / Transfer",Yes,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Info Security role,Between 1 - 5 years,None,Less than 1 year,Less than 1 year,0,Yes,ISO 27001,Yes,Cloud-Based,Some of our development efforts are outsourced (contractors / consultants),"DAST, SAST",Yes,Quarterly,Yes,Bi-Annually (every 6 months),Yes,Annually,Internally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,No,mix,medium,yes,yes
Gaming Innovation Group,Gaming,"500 - 1,000",Low risk acceptance,We make sure we invest in security and have the adequate team and infrastructure in place to make sure that we are certified and it will not impact any potential rewards.,Reduce / Avoid,Yes,Yes,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,Top Management (C Suite / Director),More than 5 years,"CMM, CMMI",Less than 1 year,Less than 1 year,Agile ISO maturity model - Over 5 years,No,ISO 27001,Yes,Hybrid,Some of our development efforts are outsourced (contractors / consultants),Not sure,Yes,Annually,Yes,Annually,Yes,Annually,Internally,Yes,Yes,Yes,Yes,Every 12 Months,No,Yes,We have policies and procedures in place and as part of the onboarding security team also assess the 3rd party company.,Yes,Yes
Gaming Innovation Group,Information technology and telecommunications sector,"500 - 1,000",Medium risk acceptance,Diversity to avoid going all in incase something goes wrong,Reduce / Avoid,Yes,Yes,3,3,2,3,2,3,2,2,3,3,2,3,3,3,2,General IT (Internal IT team) role,More than 5 years,"COBIT 5 maturity model, CMM, CMMI",Between 1 - 5 years,Between 1 - 5 years,N/A,Yes,ISO 27001,Yes,Hybrid,Some of our development efforts are outsourced (contractors / consultants),SAST,Yes,< Quarterly,Yes,Quarterly,Yes,Annually,Not offered,Yes,Yes,Yes,Yes,Every 12 Months,Yes,In process,Medium / High,Yes as per signed NDAs,Yes
C&P Ltd,Finance and insurance sector,Less than 100,Low risk acceptance," review and update your risk register, risk analysis, and risk plan regularly, and communicate the status and results of your risk management to your stakeholders.",Reduce / Avoid,Yes,Yes,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,Info Security role,Between 1 - 5 years,None,Less than 1 year,Less than 1 year,None,Yes,ISO 27001,Yes,On-Premise,Some of our development efforts are outsourced (contractors / consultants),DAST,Yes,Annually,Yes,Annually,Yes,Annually,Externally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,No,Yes,Medium,yes,No
Bridge Solutions Ltd,Consultant,Less than 100,Medium risk acceptance,"Defining a clear risk strategy at the onset, implementing the necessary safeguards and measures based on the execution plan of said strategy, and estimating the return vs risk","Reduce / Avoid, Accept / Transfer",Yes,Yes,1,2,3,2,2,1,2,2,2,3,2,2,2,2,2,Top Management (C Suite / Director),More than 5 years,COBIT 5 maturity model,Between 1 - 5 years,Less than 1 year,None others than gained through experience and management of IT functions in the last 15 years,No,No,No,Cloud-Based,No development is required for our organisation,None,No,Annually,No,Annually,N/A,N/A,N/A,N/A,No,No,No,Every 12 Months,No,No,,,
PhishDeck,Information technology and telecommunications sector,Less than 100,Medium risk acceptance,"Generally through communication with board in assessing whether or not a risk ought to be taken. No strict process in place, primarily handled on a case-by-case basis. ",Reduce / Avoid,Yes,No,2,3,3,2,1,1,1,1,1,1,1,2,2,1,2,Top Management (C Suite / Director),More than 5 years,COBIT 5 maturity model,Between 1 - 5 years,Less than 1 year,OWASP SAMM,No,N/A,No,Cloud-Based,All development is done internally by our developers,SAST,Yes,Annually,Yes,Annually,No,Not a requirement,Internally,No,Yes,Yes,No,N/A,Yes,Yes,,,
Information services,Information technology and telecommunications sector,Less than 100,High risk acceptance,Experience,"Reduce / Avoid, Accept / Transfer",Yes,No,3,3,2,3,2,3,3,2,2,3,3,3,2,2,2,Top Management (C Suite / Director),More than 5 years,"CMM, CMMI",Less than 1 year,More than 5 years,None,No,ISO 27001,No,Cloud-Based,All development is done internally by our developers,SAST,Yes,< Quarterly,Yes,< Quarterly,Yes,Monthly,Internally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,Yes,,,
ICT Solutions - Managed Cyber Security Services,Managed Service Provider,Less than 100,Medium risk acceptance,Security is always top of mind,"Reduce / Avoid, Accept / Transfer",Yes,Yes,2,1,2,1,1,2,3,3,3,3,3,2,1,1,1,Top Management (C Suite / Director),More than 5 years,None,Less than 1 year,Less than 1 year,ISO,Yes,ISO 27001,Yes,Cloud-Based,All development is done internally by our developers,SAST,Yes,Bi-Annually (every 6 months),Yes,Bi-Annually (every 6 months),Yes,Quarterly,Externally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,Yes,,,
Information security services,Information technology and telecommunications sector,Less than 100,Low risk acceptance,Managing Information risks is highly prioritized and risks shall be mitigated in a cost efficient way.,Reduce / Avoid,Yes,Yes,3,2,2,3,2,2,2,3,3,3,3,2,3,2,3,Info Security role,Between 1 - 5 years,COBIT 5 maturity model,Less than 1 year,Less than 1 year,None,No,ISO 27001,Yes,Cloud-Based,No development is required for our organisation,DAST,Yes,Quarterly,No,Quarterly,Yes,Bi-Annually,Externally,Yes,Yes,Yes,No,Not sure,Yes,Yes,,,
Withheld.  SaaS HR,SME from All sectors,Less than 100,Medium risk acceptance,Client data is sacrosanct - these are not competing drives.,"Reduce / Avoid, Accept / Transfer",Yes,No,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,IT Support,More than 5 years,"COBIT 5 maturity model, CMM, CMMI",Less than 1 year,More than 5 years,We create our own models suitable for agile development,No,Nothing at company level but have an ex McAfee employee and a 3rd party security partner,Yes,Cloud-Based,All development is done internally by our developers,None of the above,Yes,Annually,Yes,Annually,No,We have in-house skills and 3rd party partner,Not offered,We have in-house skills and 3rd party partner,Yes,Yes,No,As required (our dev team has had 1 new member in the last 10 years),Yes,SSO plus other systems such as fixed IP whitelist depending on the function being accessed,,,
Psp angels payment consultants,Payment,Less than 100,Low risk acceptance,What is the information risk,Reduce / Avoid,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Top Management (C Suite / Director),Less than 1 year,None,Less than 1 year,Less than 1 year,None,No,No,No,I don’t understand the question,No development is required for our organisation,I don’t understand the question,No,Never,No,Never,No,Never we don’t have developers,Never,No,No,No,No,Never,No,No,,,
"Andaria - Payments, API and Embedded Finance",Finance and insurance sector,Less than 100,Medium risk acceptance,"If the correct controls are in place to mitigate any potential risks, then the decision to go ahead with business decisions or not is discussed and decided on my members of the executive committee. ",Reduce / Avoid,Yes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Top Management (C Suite / Director),More than 5 years,COBIT 5 maturity model,Between 1 - 5 years,Less than 1 year,"SABSA, NIST Framework - More than 5 years",Yes,N/A,Yes,Cloud-Based,Cloud-Based,N/A,Yes,Annually,Yes,Bi-Annually (every 6 months),Yes,Quarterly,Internally,Yes,Yes,Yes,No,Every 3 - 6 Months,Yes,"SSO is implemented on all systems that offer it, but some do not.",Medium,Not all policies but we dictate access to internal systems requiring devs to deploy new code.,No
Digital Tango - consulting,business consultant,Less than 100,Medium risk acceptance,ROI,Reduce / Avoid,Yes,Yes,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,Top Management (C Suite / Director),More than 5 years,"CMM, CMMI",Less than 1 year,Between 1 - 5 years,none,No,none,No,Cloud-Based,Our development needs are outsourced (contractors / consultants),none,No,Annually,No,none,No,none,Not offered,No,No,Yes,Yes,Not sure,No,Yes,"freelancers, minor",no,no
EY Switzerland,Information technology and telecommunications sector,"More than 1,000",Low risk acceptance,It's always discussed and eventually decided by the CISO,Reduce / Avoid,Yes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Top Management (C Suite / Director),More than 5 years,COBIT 5 maturity model,Between 1 - 5 years,Less than 1 year,COBIT - 5 years,Yes,"ISO 27001, SOC 2",Yes,Cloud-Based,Some of our development efforts are outsourced (contractors / consultants),"DAST, IAST, SAST",Yes,Bi-Annually (every 6 months),Yes,Bi-Annually (every 6 months),Yes,Annually,Internally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,Yes,Medium,"Yes, always ","Yes, same as if they were employees "
Evolution - B2B games provider,Gaming provider,"More than 1,000",Medium risk acceptance,"If from an external perspective there are public or regulatory repercussions, we will alter the solution to reduce the risk factor.",Reduce / Avoid,Yes,Yes,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,Compliance Strategy + Internal Auditor,More than 5 years,None,More than 5 years,Between 1 - 5 years,,Yes,"ISO 27001, ISMS",Yes,Hybrid,All development is done internally by our developers,,Yes,Bi-Annually (every 6 months),Yes,Bi-Annually (every 6 months),Yes,Annually,Externally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,Yes,,,
Betsson Group,Gaming Operator,"More than 1,000",Medium risk acceptance,Most information risks are usually taking into account jurisdictional repurcissions within the current market along with impact on any other jurisdictions.,Reduce / Avoid,Yes,Yes,3,3,2,3,2,3,2,2,3,3,2,2,2,2,3,Technical Compliance,Between 1 - 5 years,None,Less than 1 year,Less than 1 year,I am not familiar with the maturity model however on the basis of this I am keen to go further into detail to be more aware of what it entails.,Yes,"ISO 27001, SOC 2, PCI DSS",Yes,Hybrid,Some of our development efforts are outsourced (contractors / consultants),"I am not fully aware of this at this current stage, however it is a lack of knowledge gathering from our team as we should be more understanding of such practices. ",Yes,Dependent on jurisdictional requirements within the market.,Yes,Dependent on jurisdictional requirements within the market,Not sure,Not sure,"If offered, these would be offered externally","Yes, however limited to specified resources unless training would be looked into by your specific department",Yes,Yes,Yes,Not sure,Yes,Yes,Not sure as my team does not forsee this,Not sure as my team does not forsee this,Not sure as my team does not forsee this
Betsson Group,iGaming,"More than 1,000",Medium risk acceptance,Via means of a risk assessment to understanf the potential benefits vs the risks attached from infosec / privacy perspective,Reduce / Avoid,Yes,Yes,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3,Privacy specialist,Between 1 - 5 years,None,Less than 1 year,Less than 1 year,NA,Yes,ISO 27001,Yes,Hybrid,Some of our development efforts are outsourced (contractors / consultants),na,Yes,na,Yes,na,Yes,Annually,na,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,na,Yes if hey have access to data,No
Withheld,Finance and insurance sector,"More than 1,000",Medium risk acceptance,I liaise queries with the risk department and analyse the situation,Reduce / Avoid,Yes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Clerk in investments operations,Less than 1 year,None,Less than 1 year,Less than 1 year,Nil,Yes,I don't know,Yes,On-Premise,All development is done internally by our developers,Nil,No,Don't know,No,Nil,Yes,I don't know,Both,Yes,Yes,Yes,Yes,Every 1 - 2 Months,I don't know,No,,,
888holdings,Gambling,"More than 1,000",Low risk acceptance,Can't provide a detailed answer,"Reduce / Avoid, Accept / Transfer",Yes,Yes,2,3,3,3,2,2,2,1,3,3,3,3,3,3,3,Internal Audit,More than 5 years,COBIT 5 maturity model,Less than 1 year,Less than 1 year,Only the ones which are listed,Yes,ISO 27001,Yes,Hybrid,Some of our development efforts are outsourced (contractors / consultants),"DAST, SAST",Yes,Can't answer in detail. This is not in my remit of work.,Can't answer in detail. This is not in my remit of work.,Can't answer in detail. This is not in my remit of work.,No,Not a requirement,Internally,Yes,Yes,Yes,Yes,Not sure,No,No,High risk. Some key systems are outsourced for devlopment.,Not sure of the details but it's quite difficult to impose your own policies on a vendor.,No
